date,open,high,low,close,volume
2014-03-26,0.91635,0.92442,0.91533,0.92239,107479
2014-03-27,0.9224,0.92705,0.92131,0.9257,95997
2014-03-28,0.9257,0.92941,0.92365,0.9247,88034
2014-03-31,0.92349,0.92769,0.92171,0.9262,98289
2014-04-01,0.9262,0.93029,0.92289,0.92439,94188
2014-04-02,0.9244,0.92624,0.92214,0.9246,79985
2014-04-03,0.9246,0.92526,0.92046,0.92288,100447
2014-04-04,0.92288,0.93065,0.9222,0.92896,101038
2014-04-07,0.92777,0.92944,0.9253,0.92677,80654
2014-04-08,0.92678,0.93655,0.92612,0.93569,113038
2014-04-09,0.93564,0.93982,0.93339,0.93888,115409
2014-04-10,0.93889,0.94603,0.93695,0.94114,133063
2014-04-11,0.94114,0.94253,0.93618,0.93958,121696
2014-04-14,0.93815,0.94246,0.93751,0.94219,104358
2014-04-15,0.94222,0.9423,0.93357,0.93592,122252
2014-04-16,0.93593,0.9387,0.93312,0.93664,122064
2014-04-17,0.93646,0.93895,0.93201,0.93245,90995
2014-04-18,0.93244,0.9341,0.93217,0.93249,36131
2014-04-21,0.93306,0.93459,0.93144,0.93254,47888
2014-04-22,0.93256,0.93774,0.93204,0.93649,82502
2014-04-23,0.9365,0.93763,0.92665,0.92866,104519
2014-04-24,0.92818,0.93,0.92511,0.92624,90927
2014-04-25,0.92625,0.92972,0.9253,0.92689,76133
2014-04-28,0.92682,0.93157,0.92434,0.92555,94068
2014-04-29,0.9256,0.92811,0.92265,0.92657,94867
2014-04-30,0.9266,0.92999,0.92514,0.92853,116027
2014-05-01,0.92853,0.93116,0.92595,0.9272,85049
2014-05-02,0.9272,0.9279,0.92012,0.92746,116280
2014-05-05,0.92817,0.92882,0.92513,0.9272,84979
2014-05-06,0.9272,0.93666,0.92689,0.93406,116889
2014-05-07,0.93404,0.93535,0.93174,0.9325,107524
2014-05-08,0.9325,0.93933,0.9318,0.93699,122944
2014-05-09,0.93699,0.93778,0.93459,0.93601,83221
2014-05-12,0.93549,0.93848,0.93475,0.93557,68000
2014-05-13,0.93557,0.93815,0.93322,0.93554,88208
2014-05-14,0.93554,0.94081,0.93527,0.93768,89979
2014-05-15,0.93768,0.9392,0.9326,0.93542,99032
2014-05-16,0.9354,0.93704,0.93339,0.93582,81702
2014-05-19,0.93669,0.93723,0.93248,0.93274,77850
2014-05-20,0.93274,0.93344,0.92405,0.92409,96853
2014-05-21,0.92409,0.92515,0.92077,0.92489,102581
